id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90,data_source,jornada,fecha_descarga
3927,Alessio Cragno,35,3150,GK,Cagliari,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0857142857142857,0.0,0.0,0.0,0.0279783460178545,0.0279783460178545,historical,,
3951,Kevin Bonifazi,22,1202,D S,Bologna,Serie-A,2021-2022,0.0,0.0648624745946061,0.0,0.0668429537442281,0.6738768718801997,0.2995008319467554,0.1497504159733777,0.0748752079866888,0.0,0.0648624745946061,0.2493654635925459,0.2427468757561955,historical,,
4897,Zinho Vanheusden,14,991,D S,Genoa,Serie-A,2021-2022,0.0,0.0170610664369149,0.0,0.0108712008664634,0.6357214934409687,0.0908173562058526,0.272452068617558,0.0,0.0,0.0170610664369149,0.1246757770669538,0.1208679179551021,historical,,
4907,Bartosz Bereszynski,35,2965,D M,Sampdoria,Serie-A,2021-2022,0.0,0.0198577092819129,0.0910623946037099,0.0561965846159757,0.1821247892074198,0.6374367622259697,0.3642495784148397,0.0,0.0,0.0198577092819129,0.1579087351183415,0.1304660278826349,historical,,
4941,Hans Hateboer,21,1398,D M S,Atalanta,Serie-A,2021-2022,0.0,0.1169140390899879,0.0,0.0599836618859368,1.094420600858369,0.8369098712446352,0.0643776824034334,0.0,0.0,0.1169140390899879,0.4303726725791912,0.3413843802803959,historical,,
4970,Luca Pellegrini,18,1122,D M S,Juventus,Serie-A,2021-2022,0.0,0.015620775097473,0.0802139037433155,0.1280602558769963,0.481283422459893,1.0427807486631016,0.481283422459893,0.0,0.0,0.015620775097473,0.3389378235660453,0.2689255882592443,historical,,
5025,Alessandro Buongiorno,23,1174,D S,Torino,Serie-A,2021-2022,0.0,0.0315776341666151,0.1533219761499148,0.0512856566799357,0.4599659284497444,0.383304940374787,0.383304940374787,0.0,0.0,0.0315776341666151,0.2281843343181646,0.1802645529441066,historical,,
5699,Dalbert,28,2117,D F M S,Cagliari,Serie-A,2021-2022,0.0,0.0532848877813816,0.0850259801606046,0.0815319058643262,0.4251299008030231,1.2328767123287672,0.3826169107227208,0.0,0.0,0.0532848877813816,0.2109071528860207,0.1152906747315788,historical,,
6053,Niki Mäenpää,17,1481,GK S,Venezia,Serie-A,2021-2022,0.0,0.0,0.0607697501688048,0.0158197031803504,0.0,0.0607697501688048,0.0607697501688048,0.0,0.0,0.0,0.0531559805640451,0.0373362905140224,historical,,
6108,Rodrigo Bentancur,19,1164,M S,Juventus,Serie-A,2021-2022,0.0,0.0383701396520374,0.1546391752577319,0.0682099939794423,0.6185567010309279,0.8505154639175257,0.0773195876288659,0.0,0.0,0.0383701396520374,0.5045134163720859,0.4262159342791155,historical,,
6132,Marco Silvestri,35,3150,GK,Udinese,Serie-A,2021-2022,0.0,0.0,0.0,0.0011754228600433,0.0,0.0571428571428571,0.0285714285714285,0.0,0.0,0.0,0.0566148918654237,0.0554394717195204,historical,,
6148,Michaël Cuisance,13,948,F M,Venezia,Serie-A,2021-2022,0.0,0.0651676915114439,0.0,0.101167413736163,0.569620253164557,0.9493670886075948,0.1898734177215189,0.0,0.0,0.0651676915114439,0.2809508859851881,0.1385539662257968,historical,,
6159,Gianluca Mancini,33,2900,D,Roma,Serie-A,2021-2022,0.0,0.0987811168430951,0.0,0.016940039094409,0.7448275862068966,0.2172413793103448,0.4344827586206897,0.0310344827586206,0.0,0.0987811168430951,0.2172816589217761,0.2117535429011131,historical,,
6161,Nicolas Haas,16,1010,M S,Empoli,Serie-A,2021-2022,0.0,0.0512667261617313,0.1782178217821782,0.0876326887766913,0.6237623762376238,1.1584158415841583,0.2673267326732673,0.0,0.0,0.0512667261617313,0.2707015737835871,0.1804598936589785,historical,,
6167,Vanja Milinkovic-Savic,27,2430,GK,Torino,Serie-A,2021-2022,0.0,0.0029372183812989,0.0,0.0,0.037037037037037,0.0,0.1111111111111111,0.0,0.0,0.0029372183812989,0.1549946854097975,0.1549946854097975,historical,,
6177,Luiz Felipe,31,2501,D S,Lazio,Serie-A,2021-2022,0.0,0.0134247820116862,0.0,0.0055656274754564,0.1799280287884846,0.1079568172730907,0.3238704518192722,0.0359856057576969,0.0,0.0134247820116862,0.1963045109049981,0.1907388943551731,historical,,
6191,Lorenzo Venuti,23,1589,D S,Fiorentina,Serie-A,2021-2022,0.0,0.0120991888198745,0.0,0.0186728820078135,0.3964757709251101,0.4531151667715544,0.2265575833857772,0.0,0.0,0.0120991888198745,0.229074131812293,0.2085601128145461,historical,,
6212,Mattia Bani,17,1207,D S,Genoa,Serie-A,2021-2022,0.0,0.0672429883366492,0.0,0.0052993969610632,0.5965202982601491,0.2236951118475559,0.0745650372825186,0.0,0.0,0.0672429883366492,0.1152810217255561,0.0778093104047797,historical,,
6312,Rogerio,23,1730,D S,Sassuolo,Serie-A,2021-2022,0.0,0.0202592495032128,0.0520231213872832,0.0922781498026038,0.7283236994219653,1.4046242774566473,0.2601156069364161,0.0,0.0,0.0202592495032128,0.3698063221453243,0.3314116635828177,historical,,
6324,Marash Kumbulla,17,1040,D S,Roma,Serie-A,2021-2022,0.0,0.0616664337352491,0.0,0.0079660035732488,0.6057692307692308,0.2596153846153846,0.5192307692307693,0.0,0.0,0.0616664337352491,0.1478200405119703,0.143639341283303,historical,,
6362,Rick Karsdorp,36,2901,D M S,Roma,Serie-A,2021-2022,0.0,0.0012117319845333,0.062047569803516,0.1531257409305767,0.062047569803516,1.3340227507755946,0.217166494312306,0.031023784901758,0.0,0.0012117319845333,0.3757704826959841,0.3070095060499155,historical,,
6369,Ethan Ampadu,29,2296,D M S,Venezia,Serie-A,2021-2022,0.0,0.0087430138134426,0.117595818815331,0.057381562059518,0.274390243902439,0.587979094076655,0.431184668989547,0.078397212543554,0.0,0.0087430138134426,0.2420604282881389,0.1862455392864821,historical,,
6434,Franck Zambo,25,1915,M S,Napoli,Serie-A,2021-2022,0.0,0.05410049920391,0.0939947780678851,0.0708950582901429,0.9399477806788512,1.080939947780679,0.2349869451697128,0.0,0.0,0.05410049920391,0.3549161092195825,0.2864222654601067,historical,,
6464,Adrien Silva,17,1082,M S,Sampdoria,Serie-A,2021-2022,0.0,0.0224375485936644,0.0831792975970425,0.0273878738032774,0.6654343807763401,0.6654343807763401,0.2495378927911275,0.0831792975970425,0.0,0.0224375485936644,0.4296959312408887,0.3994954490169965,historical,,
6849,Rui Patrício,38,3420,GK,Roma,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.1042784051234392,0.1042784051234392,historical,,
6902,Toma Basic,29,953,M S,Lazio,Serie-A,2021-2022,0.0,0.1489943845133059,0.1888772298006296,0.0989789136559365,1.5110178384050368,0.5666316894018888,0.2833158447009444,0.0,0.0,0.1489943845133059,0.3888399013125602,0.1957758850196194,historical,,
6942,Arthur,20,938,M S,Juventus,Serie-A,2021-2022,0.0,0.0114627183277978,0.0,0.0470155002430144,0.1918976545842217,0.5756929637526652,0.2878464818763326,0.0,0.0,0.0114627183277978,0.5555385098492762,0.5050195088343961,historical,,
6977,Pietro Terracciano,32,2861,GK S,Fiorentina,Serie-A,2021-2022,0.0,0.0,0.0,0.0011784243353469,0.0,0.0314575323313526,0.0,0.0,0.0,0.0,0.2116015758228672,0.2104231514875204,historical,,
6982,Ivan Provedel,31,2772,GK,Spezia,Serie-A,2021-2022,0.0,0.0002180172021609,0.0,0.0,0.0324675324675324,0.0,0.0649350649350649,0.0,0.0,0.0002180172021609,0.1196209331913911,0.1194029159892301,historical,,
7014,Arkadiusz Reca,25,1776,D S,Spezia,Serie-A,2021-2022,0.0,0.0260069388329882,0.1013513513513513,0.1165163345836304,0.4054054054054054,0.6587837837837838,0.152027027027027,0.0,0.0,0.0260069388329882,0.2942890023523187,0.1814896333962679,historical,,
7092,Koray Günter,30,2422,D S,Verona,Serie-A,2021-2022,0.0,0.0086180127666483,0.0,0.0297068253245656,0.2229562345169281,0.2601156069364161,0.4087530966143683,0.0,0.0,0.0086180127666483,0.2201644613958963,0.2147628415589744,historical,,
7095,Juan Musso,33,2932,GK,Atalanta,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0306957708049113,0.0306957708049113,0.0,0.0,0.0794466157567066,0.0794466157567066,historical,,
7096,Omar Colley,32,2752,D S,Sampdoria,Serie-A,2021-2022,0.0,0.0393780925904054,0.0,0.0,0.3597383720930233,0.0,0.1962209302325581,0.032703488372093,0.0,0.0393780925904054,0.1460068246659682,0.1287434210758493,historical,,
7387,Dimitris Nikolaou,36,3240,D,Spezia,Serie-A,2021-2022,0.0,0.003422683234223,0.0,0.0041791804962688,0.0833333333333333,0.0555555555555555,0.1944444444444444,0.0,0.0,0.003422683234223,0.1932262015115056,0.1906855596850315,historical,,
7411,Nicolo Rovella,21,1471,M S,Genoa,Serie-A,2021-2022,0.0,0.0333133686769482,0.1835486063902107,0.1850990179032188,0.9789259007477904,1.8354860639021076,0.3059143439836845,0.0,0.0,0.0333133686769482,0.2097198195352816,0.1365338480144354,historical,,
7516,Nehuén Pérez,20,1695,D S,Udinese,Serie-A,2021-2022,0.0,0.0595841441567229,0.0530973451327433,0.0323211608075462,0.5309734513274336,0.3185840707964602,0.3185840707964602,0.0,0.0,0.0595841441567229,0.1631771181339184,0.124300597054241,historical,,
7923,Pawel Dawidowicz,17,1186,D S,Verona,Serie-A,2021-2022,0.0,0.0447161965587287,0.0,0.0169734838206641,0.4553119730185497,0.4553119730185497,0.2276559865092748,0.0,0.0,0.0447161965587287,0.2486737141570996,0.2435818182313925,historical,,
7943,Igor Julio,30,2224,D S,Fiorentina,Serie-A,2021-2022,0.0,0.0172723594738049,0.0,0.0303098752092998,0.283273381294964,0.2428057553956834,0.1214028776978417,0.0,0.0,0.0172723594738049,0.281407091156881,0.276158642486113,historical,,
