id,player_name,position,team_title,league,season,position_main,games,time,minutes_per_game,high_participation,goals_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,xGChain_90,xGBuildup_90,target_xG_90
9098,Robert Sánchez,GK,Chelsea,Premier-League,2023-2024,GK,16,1438,89.875,1,0.0,0.0,0.0,0.0,0.0,0.125173852573018,0.0,0.2596318043162204,0.2596318043162204,0.0
3288,Thiago Silva,D S,Chelsea,Premier-League,2023-2024,D,31,2530,81.61290322580645,1,0.1067193675889328,0.0355731225296442,0.0499495361405222,0.4980237154150198,0.3201581027667984,0.1422924901185771,0.0,0.5088156786684698,0.5047924261054267,0.0281568779481258
6615,Trevoh Chalobah,D S,Chelsea,Premier-League,2023-2024,D,13,944,72.61538461538461,1,0.0953389830508474,0.0,0.0071447957070323,0.1906779661016949,0.1906779661016949,0.0953389830508474,0.0,0.4211348913396882,0.4211348913396882,0.0342376856133341
8497,Cole Palmer,F M S,"Chelsea,Manchester City",Premier-League,2023-2024,F,34,2640,77.6470588235294,1,0.75,0.375,0.4046350393274969,3.6818181818181817,2.4545454545454546,0.2386363636363636,0.0,1.0580631901552393,0.5216731740034778,0.6079174436163157
12409,Adam Wharton,M S,Crystal Palace,Premier-League,2023-2024,M,16,1333,83.3125,1,0.0,0.2025506376594148,0.1725919427600286,0.6751687921980495,1.350337584396099,0.1350337584396099,0.0,0.4256686580277258,0.3259802109786133,0.0240030347747589
8666,Cheick Oumar Doucoure,M,Crystal Palace,Premier-League,2023-2024,M,11,926,84.18181818181819,1,0.0,0.0,0.071548689709932,0.5831533477321814,0.9719222462203024,0.1943844492440604,0.0,0.3203490688656628,0.2591428999058886,0.0193300685638131
8430,Chris Richards,D M S,Crystal Palace,Premier-League,2023-2024,D,26,2085,80.1923076923077,1,0.0431654676258992,0.0431654676258992,0.0292478579116596,0.4748201438848921,0.2589928057553957,0.1294964028776978,0.0,0.2330017318587294,0.2152610389823964,0.0276088171082434
12408,Daniel Muñoz,D,Crystal Palace,Premier-League,2023-2024,D,16,1440,90.0,1,0.0,0.25,0.192833561450243,0.5,1.3125,0.25,0.0,0.4327053581364453,0.2256531675811857,0.1096919525880366
7702,Dean Henderson,GK,Crystal Palace,Premier-League,2023-2024,GK,18,1620,90.0,1,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0684794244459933,0.0684794244459933,0.0
8706,Eberechi Eze,F M S,Crystal Palace,Premier-League,2023-2024,F,27,2097,77.66666666666667,1,0.4721030042918455,0.1716738197424892,0.2937696723851011,3.5622317596566524,2.3175965665236054,0.1287553648068669,0.0,0.7030751536972022,0.2724437297285882,0.4022793686057365
5735,Jean-Philippe Mateta,F S,Crystal Palace,Premier-League,2023-2024,F,35,2303,65.8,1,0.6252713851498046,0.1953973078593139,0.1378357147088632,1.7976552323056882,1.2505427702996093,0.1172383847155883,0.0,0.6051970993080089,0.1114605276922635,0.4803070457368326
2182,Jefferson Lerma,D M S,Crystal Palace,Premier-League,2023-2024,D,28,2413,86.17857142857143,1,0.0372979693327807,0.0372979693327807,0.090943906808228,1.2681309573145465,0.8951512639867385,0.2983837546622461,0.0,0.3229534878579601,0.2059103456050639,0.088954795560295
757,Jeffrey Schlupp,F M S,Crystal Palace,Premier-League,2023-2024,F,29,1370,47.241379310344826,0,0.1313868613138686,0.1313868613138686,0.1426315718214877,1.248175182481752,1.1824817518248176,0.0656934306569343,0.0,0.4355024596961745,0.1932080722257603,0.1236612387681312
6314,Joachim Andersen,D,Crystal Palace,Premier-League,2023-2024,D,38,3420,90.0,1,0.0526315789473684,0.0789473684210526,0.0760289983529793,0.5526315789473685,0.5526315789473685,0.1842105263157895,0.0,0.2709832980150455,0.2532762548347053,0.0643194312058193
510,Joel Ward,D S,Crystal Palace,Premier-League,2023-2024,D,26,1985,76.34615384615384,1,0.0,0.0453400503778337,0.0043790423374632,0.4534005037783375,0.0906801007556675,0.181360201511335,0.0,0.2421701626303213,0.2377696393118697,0.0355972441790686
