id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90
5745,Matthieu Udol,12,1008,D S,Metz,Ligue-1,2021-2022,0.08928571428571427,0.05889738344454339,0.0,0.013644401915371411,0.4464285714285714,0.4464285714285714,0.0,0.0,0.08928571428571427,0.05889738344454339,0.2107898481023897,0.1526796896775652
5753,Mickael Nade,30,2572,D S,Saint-Etienne,Ligue-1,2021-2022,0.034992223950233284,0.051803138316355496,0.0,0.007193732777144034,0.24494556765163297,0.1749611197511664,0.13996889580093314,0.0,0.034992223950233284,0.051803138316355496,0.1191294651687099,0.11137944063197816
5773,Zaydou Youssef,30,1566,M S,Saint-Etienne,Ligue-1,2021-2022,0.0574712643678161,0.04249992657281544,0.0,0.055641075114494766,1.206896551724138,0.689655172413793,0.17241379310344826,0.0574712643678161,0.0574712643678161,0.04249992657281544,0.21693325066275293,0.15514090962322621
5789,Boubacar Kamara,34,2784,D M S,Marseille,Ligue-1,2021-2022,0.032327586206896554,0.025448922272611023,0.0,0.0938562617701446,0.7112068965517242,0.7758620689655172,0.16163793103448276,0.0,0.032327586206896554,0.025448922272611023,0.38381844568307155,0.35265308790759925
5947,Mihailo Ristic,29,1796,D M S,Montpellier,Ligue-1,2021-2022,0.05011135857461024,0.019765513718858325,0.15033407572383073,0.0816278596966629,0.9020044543429845,0.8017817371937639,0.15033407572383073,0.05011135857461024,0.05011135857461024,0.019765513718858325,0.229093905142664,0.15902766082819578
5958,Oualid El Hajjam,19,1080,D S,Troyes,Ligue-1,2021-2022,0.08333333333333334,0.036837475374341004,0.08333333333333334,0.07520545801768701,0.9166666666666667,0.5,0.16666666666666669,0.0,0.08333333333333334,0.036837475374341004,0.2032541249257823,0.18349768826738
6014,Rominigue Kouame,34,2982,M,Troyes,Ligue-1,2021-2022,0.030181086519114688,0.04984016833785673,0.060362173038229376,0.07959021065174272,1.1167002012072433,0.6338028169014085,0.15090543259557346,0.0,0.030181086519114688,0.04984016833785673,0.29080714683762376,0.2138505649885961
6061,Quentin Boisgard,25,934,F M S,Lorient,Ligue-1,2021-2022,0.09635974304068523,0.10146364317389257,0.09635974304068523,0.11938592464896419,1.5417558886509637,1.0599571734475375,0.2890792291220557,0.0,0.09635974304068523,0.10146364317389257,0.4424566299528905,0.29713133733911035
6239,Junior Sambia,30,1522,D M S,Montpellier,Ligue-1,2021-2022,0.05913272010512484,0.08875423484284838,0.0,0.03487789697465383,1.2417871222076216,0.709592641261498,0.1773981603153745,0.05913272010512484,0.05913272010512484,0.08875423484284838,0.18824018329337894,0.08034223656362209
6380,Anthony Caci,37,2399,D S,Strasbourg,Ligue-1,2021-2022,0.03751563151313047,0.04259738283835137,0.11254689453939141,0.14555746643629705,0.5627344726969571,1.0504376823676531,0.15006252605252188,0.0,0.03751563151313047,0.04259738283835137,0.3669162952543398,0.25010934367421866
6762,Yacine Adli,36,2261,F M S,Bordeaux,Ligue-1,2021-2022,0.039805395842547546,0.05916894128079016,0.2786377708978328,0.2109921524405796,1.2737726669615215,2.467934542237948,0.19902697921273774,0.0,0.039805395842547546,0.05916894128079016,0.4563463612738461,0.28215074533170725
