id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season,jornada,fecha_descarga
11783,Akor Adams,11,554,2,2.4987438060343266,1,0.10338369198143482,19,3,1,0,F S,Sevilla,2,2.4987438060343266,2.7746845073997974,0.5701926220208406,La-Liga,2025-2026,13,2025-11-26 18:51:38
13358,Thiago Almada,7,296,2,1.3843184933066368,1,0.6567318290472031,8,6,0,0,M S,Atletico Madrid,2,1.3843184933066368,3.1336512565612793,1.245770312845707,La-Liga,2025-2026,13,2025-11-26 18:51:38
13996,Tani Oluwaseyi,10,429,2,3.3995296880602837,1,1.7641931250691414,12,4,0,0,F S,Villarreal,2,3.3995296880602837,5.3943755477666855,0.23065277934074402,La-Liga,2025-2026,13,2025-11-26 18:51:38
257,Jeremy Toljan,13,1136,1,0.6064546555280685,2,2.1986382752656937,4,12,3,0,D,Levante,1,0.6064546555280685,4.431737884879112,2.214947720989585,La-Liga,2025-2026,13,2025-11-26 18:51:38
770,Ayoze Pérez,6,176,1,0.5326568484306335,1,1.0228941887617111,3,5,0,0,F S,Villarreal,1,0.5326568484306335,2.404356926679611,0.8488058932125568,La-Liga,2025-2026,13,2025-11-26 18:51:38
1003,Pablo Maffeo,9,751,1,0.1636094469577074,0,0.11598794348537922,2,4,3,0,D S,Mallorca,1,0.1636094469577074,3.6612204797565937,3.381623037159443,La-Liga,2025-2026,13,2025-11-26 18:51:38
2186,Morales,13,205,1,2.337477594614029,0,0.5101864412426949,6,5,1,0,M S,Levante,0,1.5941999852657318,3.4743716344237328,1.465067921206355,La-Liga,2025-2026,13,2025-11-26 18:51:38
2306,Cédric Bakambu,7,49,1,0.8922426775097847,0,0.015491410158574581,4,1,0,0,S,Real Betis,1,0.8922426775097847,1.1686319001019,0.26089778915047646,La-Liga,2025-2026,13,2025-11-26 18:51:38
2308,Denis Suárez,11,495,1,0.8786286804825068,0,0.4599992707371712,4,8,3,0,M S,Alaves,1,0.8786286804825068,1.921188561245799,1.2702469136565924,La-Liga,2025-2026,13,2025-11-26 18:51:38
2399,Iñaki Williams,9,681,1,2.7497575245797634,0,0.6302201114594936,19,6,0,0,F M S,Athletic Club,0,2.0064799152314663,2.5536154434084892,0.9117313176393509,La-Liga,2025-2026,13,2025-11-26 18:51:38
2418,Álvaro Odriozola,1,59,1,0.5725881457328796,0,0,1,0,0,0,D,Real Sociedad,1,0.5725881457328796,0.5725881457328796,0,La-Liga,2025-2026,13,2025-11-26 18:51:38
2453,Marc Bartra,9,759,1,0.36028387397527695,0,0.018900977447628975,4,1,1,0,D S,Real Betis,1,0.36028387397527695,3.6497234189882874,3.6330896699801087,La-Liga,2025-2026,13,2025-11-26 18:51:38
2478,Carlos Soler,10,534,1,0.9668092504143715,1,1.297855455428362,11,10,2,0,M S,Real Sociedad,1,0.9668092504143715,2.7127141505479813,1.6954070460051298,La-Liga,2025-2026,13,2025-11-26 18:51:38
2624,Djibril Sow,9,649,1,0.22772696428000927,0,0.6178852654993534,4,5,2,0,M S,Sevilla,1,0.22772696428000927,1.9820792265236378,1.447663951665163,La-Liga,2025-2026,13,2025-11-26 18:51:38
3059,Axel Witsel,10,823,1,0.4652152433991432,0,0.26571994088590145,7,6,0,1,M,Girona,1,0.4652152433991432,4.2939953319728374,3.8646530248224735,La-Liga,2025-2026,13,2025-11-26 18:51:38
3264,Mauro Arambarri,13,1153,1,1.947311144322157,0,0.15516403317451477,22,4,2,0,M,Getafe,1,1.947311144322157,1.6797298267483711,0.31595537904649973,La-Liga,2025-2026,13,2025-11-26 18:51:38
5654,Baptiste Santamaria,13,634,1,0.516353402286768,1,0.7424618415534496,6,4,2,0,M S,Valencia,1,0.516353402286768,2.0160224977880716,1.770297322422266,La-Liga,2025-2026,13,2025-11-26 18:51:38
5666,Mouctar Diakhaby,7,449,1,0.632166750729084,0,0.05504954606294632,4,1,3,0,D S,Valencia,1,0.632166750729084,0.8095903322100639,0.7545407935976982,La-Liga,2025-2026,13,2025-11-26 18:51:38
5681,Giovani Lo Celso,12,837,1,1.7572904899716377,2,2.46886844933033,19,21,3,0,M S,Real Betis,1,1.7572904899716377,8.3137828707695,5.3772726356983185,La-Liga,2025-2026,13,2025-11-26 18:51:38
5706,Dodi Lukebakio,2,180,1,0.05466248095035553,0,0.8578585088253021,2,9,0,0,M,Sevilla,1,0.05466248095035553,1.0068341195583344,0.2612600550055504,La-Liga,2025-2026,13,2025-11-26 18:51:38
6087,Takuma Asano,8,299,1,0.6569639071822166,0,0.509282112121582,5,1,1,0,F M S,Mallorca,1,0.6569639071822166,1.2010465301573277,0.49141080118715763,La-Liga,2025-2026,13,2025-11-26 18:51:38
6126,Ander Guevara,8,229,1,0.5025340914726257,0,0.11654093861579895,1,2,0,0,M S,Alaves,1,0.5025340914726257,0.7242313772439957,0.6076904414221644,La-Liga,2025-2026,13,2025-11-26 18:51:38
6168,Leandro Cabrera,12,1080,1,1.024246582761407,0,0.32643749192357063,11,5,1,0,D,Espanyol,1,1.024246582761407,3.498820286244154,3.2294408921152353,La-Liga,2025-2026,13,2025-11-26 18:51:38
6427,Aitor Ruibal,9,356,1,1.5020502377301455,0,0.5596633516252041,8,7,0,0,M S,Real Betis,1,1.5020502377301455,2.6351533494889736,0.8344365209341049,La-Liga,2025-2026,13,2025-11-26 18:51:38
6433,Jules Koundé,12,833,1,0.44767843931913376,0,0.3051310107111931,5,6,2,0,D S,Barcelona,1,0.44767843931913376,5.680509489029646,5.418475221842527,La-Liga,2025-2026,13,2025-11-26 18:51:38
6740,Miguel Ángel Rubio,5,120,1,0.5629894137382507,0,0,1,0,0,0,D S,Espanyol,1,0.5629894137382507,0.008532500825822353,0.008532500825822353,La-Liga,2025-2026,13,2025-11-26 18:51:38
